# nocbench -- 2026-08-09 Blackhole card session (the 22:24 run), noc-epoch probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 host=nextgenio-amd02
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `noc-epoch`).
#
# ONE RUN, ON ONE CARD, by one operator, on one day.
#
# The SECOND session's congestion pair. It reproduces the 13:41 session's
# shape verdict: FLAT at 64 and 512 B, SATURATING at 2048 / 8192 / 16384 B,
# with slopes inside 0.2 cycles/shared-link of the 13:41 run's. Read the r2
# with them -- 0.03 to 0.43 -- these are SHAPE verdicts off poor fits, not
# well-determined coefficients.
#
# THIS FILE IS THE REGRESSION FIXTURE for the wrap bug in
# tt_sim.perf.noc_congestion_sweep._elapsed_span. Its wall-clock stamps cross
# 2**32 part-way through the run, and the old non-wrap-aware session span
# (max - min over modular stamps) therefore read 4,288,408,164 against a true
# elapsed of 386,257,520. That span is the bar an epoch offset must clear to
# be believed, so it swallowed a perfectly good -1760493889 cycle offset on
# core (11,2) -- and, because the offset was then not subtracted, the five
# runs that core appears in reported ~0.00 timed-region overlap and the whole
# file was graded INVALID. With the span computed wrap-aware all five overlap
# 1.00 and the file reads CONGESTION MEASURED. Nothing about the card
# changed; keep this file so the bug cannot come back.
#
# Analysis: docs/plans/cost-model.md, "The congestion pair, and the epoch that
# was never absent". A silicon measurement is `corroboration`, never
# provenance -- nothing here is charged.
# tt_sim/ and no numpy/pyyaml. Generated at home by:
#   python3 -m tt_sim.perf.noc_congestion_plan \
#     --grid tt_sim/perf/datasets/nocbench-grid-blackhole.csv \
#     --out perfbench/nocbench/noc-plan-blackhole.csv \
#     --shared-sizes 64,512,2048,8192,16384
# from that card's own 2026-08-05 --dump-grid capture (addressed worker columns
# {1..7, 10..14}; physical {1..6, 11..16}). run_card_session.sh verifies every
# tile named here exists in the card's LIVE dump before using it, and refuses
# rather than measure against a grid this plan was not built for. Regenerate if
# the card, its harvesting, or the experiment arguments change.
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,2-2,2-3,2-4,2-11,3-2,3-4,3-10,4-2,4-4,4-5,5-2,5-4,5-6,6-2,6-3,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 40 points, 80 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0,1,4520,4022417497,4022422017,17,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0,1,4516,4027474490,4027479006,5,1,2,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0,1,4506,4031528760,4031533266,10,1,2,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0,1,4521,4035645873,4035650394,3,1,2,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0,1,4513,4039718778,4039723291,10,1,2,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0,1,4512,4043769779,4043774291,3,1,2,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0,1,4512,4047874072,4047878584,3,1,2,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0,1,4515,4051955431,4051959946,4,1,2,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0,1,4491,4055985970,4055990461,4,1,2,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0,1,4467,4060001478,4060005945,3,1,2,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0,1,4473,4064032614,4064037087,3,1,2,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0,1,4475,4068091554,4068096029,3,1,2,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0,1,4486,4072331934,4072336420,3,1,2,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0,1,4467,4076408185,4076412652,3,1,2,0
14,hops,col+7,0,1,0,0,1,2,1,2,0,7,1,9,1,9,0,0,1,0,64,4096,7,12,0,0,1,4466,4080523860,4080528326,3,1,2,0
15,hops,col+8,0,1,0,0,1,2,1,2,0,8,1,10,1,10,0,0,1,0,64,4096,8,12,0,0,1,4464,4084549602,4084554066,3,1,2,0
16,hops,diag+2-3,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0,1,4632,4088565890,4088570522,3,1,2,0
17,hops,diag+3-4,0,1,0,0,1,2,1,2,2,2,3,4,3,4,0,0,1,0,64,4096,4,29,0,0,1,4626,4092592951,4092597577,2,1,2,0
18,hops,diag+4-5,0,1,0,0,1,2,1,2,3,3,4,5,4,5,0,0,1,0,64,4096,6,29,0,0,1,4626,4096691288,4096695914,3,1,2,0
19,hops,diag+5-6,0,1,0,0,1,2,1,2,4,4,5,6,5,6,0,0,1,0,64,4096,8,29,0,0,1,4603,4100732357,4100736960,3,1,2,0
20,hops,diag+6-7,0,1,0,0,1,2,1,2,5,5,6,7,6,7,0,0,1,0,64,4096,10,29,0,0,1,4632,4104846774,4104851406,3,1,2,0
21,hops,diag+11-8,0,1,0,0,1,2,1,2,6,6,7,8,11,8,0,0,1,0,64,4096,16,29,0,0,1,4617,4108876567,4108881184,3,1,2,0
22,hops,diag+12-9,0,1,0,0,1,2,1,2,7,7,10,9,12,9,0,0,1,0,64,4096,18,29,0,0,1,4618,4112908048,4112912666,10,1,2,0
23,hops,diag+13-10,0,1,0,0,1,2,1,2,8,8,11,10,13,10,0,0,1,0,64,4096,20,29,0,0,1,4622,4117204534,4117209156,3,1,2,0
24,size,64B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,64,2,29,0,0,1,2539,4121256079,4121258618,3,1,2,0
25,size,512B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,512,2,29,0,0,1,2547,4125280800,4125283347,4,1,2,0
26,size,4096B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0,1,4642,4129373227,4129377869,3,1,2,0
27,size,16384B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,16384,2,29,0,0,1,17219,4133388235,4133405454,4,1,2,0
28,readport,1flow,0,1,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,0,0,1,8882,4137437338,4137446220,17,2,11,0
29,readport,2flows,0,2,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3,1,16795,4142978301,4142995096,22,2,11,0
29,readport,2flows,1,2,2,8,3,10,3,10,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3,1,17215,4142978408,4142995623,1177444,3,10,0
30,shared,64B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,0,0,1,2547,4149589357,4149591904,21,15,2,0
30,shared,64B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,64,10,29,0,0,1,2557,4149589419,4149591976,1178158,6,2,0
31,shared,64B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,1,0,1,2534,4156212565,4156215099,21,15,2,0
31,shared,64B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,64,10,29,1,0,1,2558,4156212622,4156215180,1171376,5,2,0
32,shared,64B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,2,0,1,2534,4162900211,4162902745,21,15,2,0
32,shared,64B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,64,10,29,2,0,1,2556,4162900270,4162902826,1177963,4,2,0
33,shared,64B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,3,0,1,2535,4169526888,4169529423,21,15,2,0
33,shared,64B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,64,10,29,3,0,1,2559,4169526939,4169529498,1176030,3,2,0
34,shared,64B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,4,0,1,2535,4176099310,4176101845,21,15,2,0
34,shared,64B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,64,10,29,4,0,1,2558,2415605426,2415607984,1165263,11,2,0
35,shared,64B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,5,0,1,2534,4182731569,4182734103,21,15,2,0
35,shared,64B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,64,10,29,5,0,1,2557,4182731695,4182734252,1173980,12,2,0
36,shared,64B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,6,0,1,2534,4189377711,4189380245,21,15,2,0
36,shared,64B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,64,10,29,6,0,1,2556,4189377840,4189380396,1174281,13,2,0
37,shared,64B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,7,0,1,2534,4195953193,4195955727,21,15,2,0
37,shared,64B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,64,10,29,7,0,1,2556,4195953337,4195955893,1180106,14,2,0
38,shared,512B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,0,0,1,2543,4202841016,4202843559,21,15,2,0
38,shared,512B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,512,10,29,0,0,1,2555,4202841083,4202843638,1177337,6,2,0
39,shared,512B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,1,0,1,2542,4209444779,4209447321,21,15,2,0
39,shared,512B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,512,10,29,1,0,1,2556,4209444836,4209447392,1171536,5,2,0
40,shared,512B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,2,0,1,2543,4216123820,4216126363,21,15,2,0
40,shared,512B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,512,10,29,2,0,1,2554,4216123875,4216126429,1175088,4,2,0
41,shared,512B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,3,0,1,2545,4222716061,4222718606,21,15,2,0
41,shared,512B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,512,10,29,3,0,1,2555,4222716107,4222718662,1170801,3,2,0
42,shared,512B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,4,0,1,2543,4229468395,4229470938,21,15,2,0
42,shared,512B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,512,10,29,4,0,1,2556,2468974506,2468977062,1170449,11,2,0
43,shared,512B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,5,0,1,2542,4236119855,4236122397,21,15,2,0
43,shared,512B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,512,10,29,5,0,1,2556,4236119980,4236122536,1171383,12,2,0
44,shared,512B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,6,0,1,2550,4242718211,4242720761,21,15,2,0
44,shared,512B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,512,10,29,6,0,1,2553,4242718341,4242720894,1169784,13,2,0
45,shared,512B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,7,0,1,2543,4249402866,4249405409,21,15,2,0
45,shared,512B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,512,10,29,7,0,1,2553,4249403015,4249405568,1171184,14,2,0
46,shared,2048B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,0,0,1,2567,4255953698,4255956265,22,15,2,0
46,shared,2048B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,2048,10,29,0,0,1,2577,4255953758,4255956335,1173302,6,2,0
47,shared,2048B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,1,0,1,4551,4262582407,4262586958,21,15,2,0
47,shared,2048B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,2048,10,29,1,0,1,4610,4262582465,4262587075,1172313,5,2,0
48,shared,2048B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,2,0,1,4105,4269147217,4269151322,21,15,2,0
48,shared,2048B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,2048,10,29,2,0,1,4622,4269147270,4269151892,1163283,4,2,0
49,shared,2048B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,3,0,1,4415,4275913802,4275918217,21,15,2,0
49,shared,2048B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,2048,10,29,3,0,1,4604,4275913852,4275918456,1164677,3,2,0
50,shared,2048B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,4,0,1,4470,4282539860,4282544330,21,15,2,0
50,shared,2048B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,2048,10,29,4,0,1,4481,2522045971,2522050452,1176282,11,2,0
51,shared,2048B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,5,0,1,4470,4289236154,4289240624,21,15,2,0
51,shared,2048B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,2048,10,29,5,0,1,4482,4289236274,4289240756,1171380,12,2,0
52,shared,2048B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,6,0,1,4470,828110,832580,21,15,2,0
52,shared,2048B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,2048,10,29,6,0,1,4473,828243,832716,1173576,13,2,0
53,shared,2048B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,7,0,1,4486,7377917,7382403,21,15,2,0
53,shared,2048B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,2048,10,29,7,0,1,4490,7378060,7382550,1171688,14,2,0
54,shared,8192B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,0,0,1,8838,14080065,14088903,21,15,2,0
54,shared,8192B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,8192,10,29,0,0,1,8802,14080126,14088928,1175903,6,2,0
55,shared,8192B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,1,0,1,16798,20633123,20649921,21,15,2,0
55,shared,8192B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,8192,10,29,1,0,1,16906,20633182,20650088,1172922,5,2,0
56,shared,8192B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,2,0,1,16758,27198622,27215380,21,15,2,0
56,shared,8192B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,8192,10,29,2,0,1,16899,27198681,27215580,1175208,4,2,0
57,shared,8192B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,3,0,1,16782,33811658,33828440,21,15,2,0
57,shared,8192B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,8192,10,29,3,0,1,16913,33811702,33828615,1172187,3,2,0
58,shared,8192B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,4,0,1,16896,40543578,40560474,21,15,2,0
58,shared,8192B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,8192,10,29,4,0,1,17001,2575016984,2575033985,1171170,11,2,0
59,shared,8192B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,5,0,1,16918,47144818,47161736,21,15,2,0
59,shared,8192B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,8192,10,29,5,0,1,17018,47144938,47161956,1163125,12,2,0
60,shared,8192B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,6,0,1,16942,53853049,53869991,22,15,2,0
60,shared,8192B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,8192,10,29,6,0,1,17043,53853184,53870227,1161257,13,2,0
