# nocreadbench arch=blackhole grid=13x10 num_tx=4 repeats=1 mode=stateless sim=1 dram=1 noc_events=0 congruence=64
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
burst,0,0,0,0,1,2,1,15,2,14,4,64,0,0,393,98.250,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
burst,0,1,0,0,1,2,1,15,2,14,16,64,0,0,957,59.812,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
burst,0,2,0,0,1,2,1,15,2,14,64,64,0,0,3213,50.203,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
burst,0,3,0,0,1,2,1,15,2,14,128,64,0,0,6221,48.602,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,4,0,0,1,2,1,15,2,14,4,512,0,0,401,100.250,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,5,0,0,1,2,1,15,2,14,16,512,0,0,965,60.312,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,6,0,0,1,2,1,15,2,14,64,512,0,0,3221,50.328,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,7,0,0,1,2,1,15,2,14,128,512,0,0,6229,48.664,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,8,0,0,1,2,1,15,2,14,4,1024,0,0,409,102.250,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,9,0,0,1,2,1,15,2,14,16,1024,0,0,973,60.812,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,10,0,0,1,2,1,15,2,14,64,1024,0,0,3229,50.453,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,11,0,0,1,2,1,15,2,14,128,1024,0,0,6237,48.727,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,12,0,0,1,2,1,15,2,14,4,2048,0,0,425,106.250,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,13,0,0,1,2,1,15,2,14,16,2048,0,0,989,61.812,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,14,0,0,1,2,1,15,2,14,64,2048,0,0,3245,50.703,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
bigburst,0,15,0,0,1,2,1,15,2,14,128,2048,0,0,6253,48.852,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
