# nocbench -- 2026-08-09 Blackhole card session, noc probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `noc`).
# Congestion with --shared-sizes 64,512,2048,8192,16384. FLAT at 64/512 B,
# SATURATING at 2K/8K/16K (+2.49/+10.87/+22.49 cycles per shared link).
# r^2 0.34-0.39: these are SHAPE verdicts off poor fits, reproducible to
# 1-6 % across three runs but not well-determined coefficients.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# PRE-BUILT PLAN for the harvested Blackhole card, so the card box needs no
# tt_sim/ and no numpy/pyyaml. Generated at home by:
#   python3 -m tt_sim.perf.noc_congestion_plan \
#     --grid tt_sim/perf/datasets/nocbench-grid-blackhole.csv \
#     --out perfbench/nocbench/noc-plan-blackhole.csv \
#     --shared-sizes 64,512,2048,8192,16384
# from that card's own 2026-08-05 --dump-grid capture (addressed worker columns
# {1..7, 10..14}; physical {1..6, 11..16}). run_card_session.sh verifies every
# tile named here exists in the card's LIVE dump before using it, and refuses
# rather than measure against a grid this plan was not built for. Regenerate if
# the card, its harvesting, or the experiment arguments change.
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,2-2,2-3,2-4,2-11,3-2,3-4,3-10,4-2,4-4,4-5,5-2,5-4,5-6,6-2,6-3,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 40 points, 80 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0,1,4528,1147976318,1147980846,14,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0,1,4510,1152800036,1152804546,3,1,2,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0,1,4510,1156944969,1156949479,3,1,2,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0,1,4506,1161251469,1161255975,3,1,2,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0,1,4530,1165614083,1165618613,10,1,2,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0,1,4508,1169735787,1169740295,5,1,2,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0,1,4498,1178323711,1178328209,10,1,2,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0,1,4518,1182960908,1182965426,3,1,2,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0,1,4498,1187662500,1187666998,3,1,2,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0,1,4464,1191832467,1191836931,3,1,2,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0,1,4474,1195925132,1195929606,3,1,2,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0,1,4482,1199801090,1199805572,3,1,2,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0,1,4459,1203843706,1203848165,3,1,2,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0,1,4483,1207926820,1207931303,3,1,2,0
14,hops,col+7,0,1,0,0,1,2,1,2,0,7,1,9,1,9,0,0,1,0,64,4096,7,12,0,0,1,4466,1216384647,1216389113,10,1,2,0
15,hops,col+8,0,1,0,0,1,2,1,2,0,8,1,10,1,10,0,0,1,0,64,4096,8,12,0,0,1,4475,1221119756,1221124231,3,1,2,0
16,hops,diag+2-3,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0,1,4642,1225564477,1225569119,3,1,2,0
17,hops,diag+3-4,0,1,0,0,1,2,1,2,2,2,3,4,3,4,0,0,1,0,64,4096,4,29,0,0,1,4619,1229874291,1229878910,3,1,2,0
18,hops,diag+4-5,0,1,0,0,1,2,1,2,3,3,4,5,4,5,0,0,1,0,64,4096,6,29,0,0,1,4635,1234134118,1234138753,3,1,2,0
19,hops,diag+5-6,0,1,0,0,1,2,1,2,4,4,5,6,5,6,0,0,1,0,64,4096,8,29,0,0,1,4627,1238179589,1238184216,5,1,2,0
