# tensixbench -- 2026-08-09 Blackhole card session, tensix-warm probe.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 campaign=2026-08-09 host=nextgenio-amd02
# (firmware and KMD read from the run's own UMD log, not recalled.)
#
# ONE RUN, ON ONE CARD, by one operator, on one day, collected by
# perfbench/run_card_session.sh. The card is HARVESTED: addressed worker
# columns {1..7, 10..14}, physical {1..6, 11..16}; two chips present,
# auto-discovery downgrades to a 1x1 mesh.
# flags: --blocks 64 --iters 64
# valid=yes
# dvalid_setup=once as invoked; the same caveat as
# tensixbench-blackhole-2026-08-09.csv applies -- this file reproduces the
# per-thread control, in a separate process, which is what makes the
# effect not a one-off.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `tensix-warm`).
# --blocks 64, so the cold n=32 burst is out of the fit. The difference from
# tensixbench-blackhole-2026-08-09.csv IS the warm-up bias: <= 0.0022
# cycles/instruction on retained t1 series, ~6 % of resol.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=blackhole magic=0x7B10CE02 unroll=64 probe_mask=0xFFFFF dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1,t2,t3 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,0,loop_overhead,-,1,1,192,64,396
A,t1,0,loop_overhead,-,1,1,256,64,524
A,t1,1,NOP,NONE,1,1,64,64,4249
A,t1,1,NOP,NONE,1,1,128,64,8459
A,t1,1,NOP,NONE,1,1,192,64,12683
A,t1,1,NOP,NONE,1,1,256,64,16907
A,t1,2,DMANOP,TDMA,1,1,64,64,4251
A,t1,2,DMANOP,TDMA,1,1,128,64,8459
A,t1,2,DMANOP,TDMA,1,1,192,64,12683
A,t1,2,DMANOP,TDMA,1,1,256,64,16907
A,t1,3,SFPNOP,SFPU,1,1,64,64,4251
A,t1,3,SFPNOP,SFPU,1,1,128,64,8459
A,t1,3,SFPNOP,SFPU,1,1,192,64,12683
A,t1,3,SFPNOP,SFPU,1,1,256,64,16907
A,t1,4,SFPMOV,SFPU,1,1,64,64,4250
A,t1,4,SFPMOV,SFPU,1,1,128,64,8459
A,t1,4,SFPMOV,SFPU,1,1,192,64,12683
A,t1,4,SFPMOV,SFPU,1,1,256,64,16907
A,t1,5,SFPADD,SFPU,1,1,64,64,4249
A,t1,5,SFPADD,SFPU,1,1,128,64,8459
A,t1,5,SFPADD,SFPU,1,1,192,64,12683
A,t1,5,SFPADD,SFPU,1,1,256,64,16907
A,t1,6,SFPMUL,SFPU,1,1,64,64,4250
A,t1,6,SFPMUL,SFPU,1,1,128,64,8459
A,t1,6,SFPMUL,SFPU,1,1,192,64,12683
A,t1,6,SFPMUL,SFPU,1,1,256,64,16907
A,t1,7,SFPMAD,SFPU,1,1,64,64,4250
A,t1,7,SFPMAD,SFPU,1,1,128,64,8459
A,t1,7,SFPMAD,SFPU,1,1,192,64,12683
A,t1,7,SFPMAD,SFPU,1,1,256,64,16907
A,t1,8,SFPABS,SFPU,1,1,64,64,4249
A,t1,8,SFPABS,SFPU,1,1,128,64,8459
A,t1,8,SFPABS,SFPU,1,1,192,64,12683
A,t1,8,SFPABS,SFPU,1,1,256,64,16907
A,t1,9,SETDMAREG,THCON,1,1,64,64,4250
A,t1,9,SETDMAREG,THCON,1,1,128,64,8459
A,t1,9,SETDMAREG,THCON,1,1,192,64,12683
A,t1,9,SETDMAREG,THCON,1,1,256,64,16907
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12202
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24515
A,t1,10,ADDDMAREG,THCON,1,1,192,64,36807
A,t1,10,ADDDMAREG,THCON,1,1,256,64,49095
A,t1,11,MULDMAREG,THCON,1,1,64,64,12202
A,t1,11,MULDMAREG,THCON,1,1,128,64,24515
A,t1,11,MULDMAREG,THCON,1,1,192,64,36807
A,t1,11,MULDMAREG,THCON,1,1,256,64,49095
