# nocbench raw flows -- see docs/plans/cost-model.md and docs/bh_arch.md section 4
#
# THIS IS A REFERENCE MEASUREMENT, NOT RUN OUTPUT. Run output from
# perfbench/nocbench lands in perfbench/nocbench/src/; a curated reference
# belongs here, next to the analysis that reads it
# (`python3 -m tt_sim.perf.noc_congestion_sweep`).
#
# device=blackhole-silicon simulator=no
# campaign=2026-08-05, one card, one operator. The grid this was planned
#   against is nocbench-grid-blackhole.csv in this directory: the card is
#   HARVESTED (physical worker columns {1..6, 11..16}; 7 and 10 are disabled),
#   and every coordinate below is the corrected geometry that `--dump-grid`'s
#   NOC_NODE_ID probe established. Zero coordinate mismatches, zero invariant
#   complaints.
# NOTE the tile at SoC-physical (11, 2) keeps its own wall-clock epoch,
#   +1143914613 cycles from the rest of the device. It is a property of the
#   TILE, not of any run: see docs/bh_arch.md section 4.4. Same-core durations
#   -- the `cycles` column, which every number in the analysis is fitted to --
#   are unaffected; only cross-core t0/t1 comparisons are, and
#   `clock_skew_report` subtracts it.
# THE SIZE SWEEP: 96 flows over 48 runs, `shared` only, at six transaction
#   sizes x eight shared-link counts. A SEPARATE RUN of the same binary on the
#   same card -- not the same run as nocbench-blackhole.csv, and the two are
#   never averaged. It carries no controls by construction, so its own verdict
#   is INVALID and it is read only alongside the main run, which shares two of
#   its twelve cells (64 B and 16384 B) and agrees to 0.8 cycles/tx.
#
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=2-4,3-2,3-4,4-2,4-4,5-2,5-4,6-2,6-3,7-2,7-4,10-2,10-4,11-2,11-4,12-2,12-4,13-2
# shared: 48 points, 96 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,shared,64B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,0,0,1,2547,2724298202,2724300749,22,15,2,0
0,shared,64B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,64,10,29,0,0,1,2556,2724298267,2724300823,1184079,6,2,0
1,shared,64B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,1,0,1,2534,2731512386,2731514920,21,15,2,0
1,shared,64B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,64,10,29,1,0,1,2557,2731512443,2731515000,1162680,5,2,0
2,shared,64B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,2,0,1,2535,2738131228,2738133763,21,15,2,0
2,shared,64B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,64,10,29,2,0,1,2557,2738131286,2738133843,1160117,4,2,0
3,shared,64B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,3,0,1,2534,2744744766,2744747300,21,15,2,0
3,shared,64B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,64,10,29,3,0,1,2557,2744744810,2744747367,1162977,3,2,0
4,shared,64B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,4,0,1,2535,2751493346,2751495881,21,15,2,0
4,shared,64B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,64,10,29,4,0,1,2556,3895407963,3895410519,1159679,11,2,0
5,shared,64B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,5,0,1,2535,2758126760,2758129295,21,15,2,0
5,shared,64B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,64,10,29,5,0,1,2557,2758126883,2758129440,1157862,12,2,0
6,shared,64B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,6,0,1,2535,2764998279,2765000814,21,15,2,0
6,shared,64B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,64,10,29,6,0,1,2557,2764998408,2765000965,1165993,13,2,0
7,shared,64B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,7,0,1,2535,2771694424,2771696959,21,15,2,0
7,shared,64B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,64,10,29,7,0,1,2557,2771694568,2771697125,1160160,14,2,0
8,shared,512B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,0,0,1,2543,2778373502,2778376045,21,15,2,0
8,shared,512B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,512,10,29,0,0,1,2555,2778373565,2778376120,1154709,6,2,0
9,shared,512B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,1,0,1,2543,2785226670,2785229213,21,15,2,0
9,shared,512B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,512,10,29,1,0,1,2553,2785226728,2785229281,1157692,5,2,0
