# nocreadbench arch=blackhole grid=13x10 num_tx=8 repeats=1 mode=stateless sim=1 dram=0 noc_events=0 congruence=64
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
size,0,0,0,0,1,2,1,15,2,14,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,1,0,0,1,2,1,15,2,14,8,128,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,2,0,0,1,2,1,15,2,14,8,256,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,3,0,0,1,2,1,15,2,14,8,512,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,4,0,0,1,2,1,15,2,14,8,1024,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,5,0,0,1,2,1,15,2,14,8,2048,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
size,0,6,0,0,1,2,1,15,2,14,8,4096,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0F02,0x5A5A0F02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0F02,1
dist,0,7,0,0,1,2,1,2,2,1,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0202,0x5A5A0202,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0202,1
dist,0,8,0,0,1,2,1,3,2,2,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0302,0x5A5A0302,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0302,1
dist,0,9,0,0,1,2,1,4,2,3,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0402,0x5A5A0402,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0402,1
dist,0,10,0,0,1,2,1,5,2,4,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0502,0x5A5A0502,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0502,1
dist,0,11,0,0,1,2,1,6,2,5,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0602,0x5A5A0602,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0602,1
dist,0,12,0,0,1,2,1,7,2,6,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0702,0x5A5A0702,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0702,1
dist,0,13,0,0,1,2,1,10,2,9,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0A02,0x5A5A0A02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0A02,1
dist,0,14,0,0,1,2,1,11,2,10,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0B02,0x5A5A0B02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0B02,1
dist,0,15,0,0,1,2,1,12,2,11,8,64,0,0,371,46.375,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0C02,0x5A5A0C02,0x5A5A0203,l1,0x0017C000,0x0017E000,0x5A5A0C02,1
