# riscvbench -- 2026-08-09 Blackhole card session, rv (repeat) probe.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 campaign=2026-08-09 host=nextgenio-amd02
# (firmware and KMD read from the run's own UMD log, not recalled.)
#
# ONE RUN, ON ONE CARD, by one operator, on one day, collected by
# perfbench/run_card_session.sh. The card is HARVESTED: addressed worker
# columns {1..7, 10..14}, physical {1..6, 11..16}; two chips present,
# auto-discovery downgrades to a 1x1 mesh.
# flags: --blocks 32   (a repeat of the primary at IDENTICAL parameters)
# valid: T yes, C yes, F yes, S yes, G yes, R no (2 R^2 checks failed),
#   Q no (16 monotonicity checks, all at n <= 16)
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `rv (repeat)`).
# A repeat of the primary at IDENTICAL parameters -- a repeatability sample,
# not a variant. Phase R fails its R^2 gate here on different slots than the
# primary does, which is what shows it to be scatter about a threshold.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=blackhole magic=0x7B10CF03 probe_mask=0x7FFFFFFFFFFFF phases=rtcqfsg variants=t1,t2,t3 base_blocks=32 gset=0 group_reps=16 pad=16 stack_addr=0xFFB00FA8 scratch_addr=0x0017D440 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
r,t1,0,loop_overhead,-,1,1,32,64,82
r,t1,0,loop_overhead,-,1,1,64,64,140
r,t1,0,loop_overhead,-,1,1,96,64,204
r,t1,0,loop_overhead,-,1,1,128,64,268
r,t1,1,rv_addi_indep,RV,1,1,32,64,2139
r,t1,1,rv_addi_indep,RV,1,1,64,64,4235
r,t1,1,rv_addi_indep,RV,1,1,96,64,6347
r,t1,1,rv_addi_indep,RV,1,1,128,64,8459
r,t1,2,rv_addi_dep,RV,1,1,32,64,2138
r,t1,2,rv_addi_dep,RV,1,1,64,64,4235
r,t1,2,rv_addi_dep,RV,1,1,96,64,6347
r,t1,2,rv_addi_dep,RV,1,1,128,64,8459
r,t1,3,rv_mul_indep,RV,1,1,32,64,2138
r,t1,3,rv_mul_indep,RV,1,1,64,64,4235
r,t1,3,rv_mul_indep,RV,1,1,96,64,6347
r,t1,3,rv_mul_indep,RV,1,1,128,64,8459
r,t1,4,rv_mul_dep,RV,1,1,32,64,4145
r,t1,4,rv_mul_dep,RV,1,1,64,64,8273
r,t1,4,rv_mul_dep,RV,1,1,96,64,12401
r,t1,4,rv_mul_dep,RV,1,1,128,64,16529
r,t1,5,rv_div,RV,1,1,32,64,67661
r,t1,5,rv_div,RV,1,1,64,64,135309
r,t1,5,rv_div,RV,1,1,96,64,202957
r,t1,5,rv_div,RV,1,1,128,64,270605
r,t1,6,rv_load_chase,RV_LSU,1,1,32,64,16643
r,t1,6,rv_load_chase,RV_LSU,1,1,64,64,33287
r,t1,6,rv_load_chase,RV_LSU,1,1,96,64,49924
r,t1,6,rv_load_chase,RV_LSU,1,1,128,64,66562
r,t1,7,rv_load_indep,RV_LSU,1,1,32,64,3692
r,t1,7,rv_load_indep,RV_LSU,1,1,64,64,7363
r,t1,7,rv_load_indep,RV_LSU,1,1,96,64,11040
r,t1,7,rv_load_indep,RV_LSU,1,1,128,64,14710
r,t1,8,rv_store_spread,RV_LSU,1,1,32,64,10760
r,t1,8,rv_store_spread,RV_LSU,1,1,64,64,21489
r,t1,8,rv_store_spread,RV_LSU,1,1,96,64,32543
r,t1,8,rv_store_spread,RV_LSU,1,1,128,64,43396
r,t1,9,rv_store_coalesce,RV_LSU,1,1,32,64,2139
r,t1,9,rv_store_coalesce,RV_LSU,1,1,64,64,4235
r,t1,9,rv_store_coalesce,RV_LSU,1,1,96,64,6347
r,t1,9,rv_store_coalesce,RV_LSU,1,1,128,64,8459
r,t1,10,rv_load_stack,RV_LSU,1,1,32,64,4145
