# nocbench -- 2026-08-09 Blackhole card session, noc-epoch probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `noc-epoch`).
# The repeat run. INVALID for congestion -- 5 multi-flow runs had ~0.00
# timed-region overlap, so those flows never contended. Its value is the
# clock-epoch reading: core (11,2) shows NO epoch here, against +323438586
# and -495379666 in two other runs. The epoch is per-RUN, not per-core.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# PRE-BUILT PLAN for the harvested Blackhole card, so the card box needs no
# tt_sim/ and no numpy/pyyaml. Generated at home by:
#   python3 -m tt_sim.perf.noc_congestion_plan \
#     --grid tt_sim/perf/datasets/nocbench-grid-blackhole.csv \
#     --out perfbench/nocbench/noc-plan-blackhole.csv \
#     --shared-sizes 64,512,2048,8192,16384
# from that card's own 2026-08-05 --dump-grid capture (addressed worker columns
# {1..7, 10..14}; physical {1..6, 11..16}). run_card_session.sh verifies every
# tile named here exists in the card's LIVE dump before using it, and refuses
# rather than measure against a grid this plan was not built for. Regenerate if
# the card, its harvesting, or the experiment arguments change.
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,2-2,2-3,2-4,2-11,3-2,3-4,3-10,4-2,4-4,4-5,5-2,5-4,5-6,6-2,6-3,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 40 points, 80 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0,1,4519,4006158398,4006162917,14,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0,1,4499,4010748020,4010752519,3,1,2,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0,1,4520,4015264793,4015269313,3,1,2,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0,1,4523,4019667294,4019671817,3,1,2,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0,1,4516,4023923397,4023927913,3,1,2,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0,1,4498,4028058485,4028062983,10,1,2,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0,1,4494,4032303724,4032308218,3,1,2,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0,1,4507,4036299459,4036303966,3,1,2,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0,1,4474,4040249418,4040253892,3,1,2,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0,1,4484,4043915882,4043920366,3,1,2,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0,1,4486,4047647486,4047651972,3,1,2,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0,1,4459,4051376631,4051381090,3,1,2,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0,1,4467,4055034599,4055039066,3,1,2,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0,1,4459,4059288967,4059293426,3,1,2,0
14,hops,col+7,0,1,0,0,1,2,1,2,0,7,1,9,1,9,0,0,1,0,64,4096,7,12,0,0,1,4469,4063845285,4063849754,4,1,2,0
15,hops,col+8,0,1,0,0,1,2,1,2,0,8,1,10,1,10,0,0,1,0,64,4096,8,12,0,0,1,4460,4067822751,4067827211,4,1,2,0
16,hops,diag+2-3,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0,1,4624,4071857958,4071862582,3,1,2,0
17,hops,diag+3-4,0,1,0,0,1,2,1,2,2,2,3,4,3,4,0,0,1,0,64,4096,4,29,0,0,1,4609,4075746098,4075750707,3,1,2,0
18,hops,diag+4-5,0,1,0,0,1,2,1,2,3,3,4,5,4,5,0,0,1,0,64,4096,6,29,0,0,1,4618,4079836228,4079840846,3,1,2,0
19,hops,diag+5-6,0,1,0,0,1,2,1,2,4,4,5,6,5,6,0,0,1,0,64,4096,8,29,0,0,1,4626,4083746449,4083751075,3,1,2,0
20,hops,diag+6-7,0,1,0,0,1,2,1,2,5,5,6,7,6,7,0,0,1,0,64,4096,10,29,0,0,1,4625,4087650065,4087654690,3,1,2,0
21,hops,diag+11-8,0,1,0,0,1,2,1,2,6,6,7,8,11,8,0,0,1,0,64,4096,16,29,0,0,1,4617,4091654139,4091658756,5,1,2,0
22,hops,diag+12-9,0,1,0,0,1,2,1,2,7,7,10,9,12,9,0,0,1,0,64,4096,18,29,0,0,1,4618,4096023712,4096028330,3,1,2,0
